Type,LocationLat,LocationLng
Cold,41.883,-91.7246
Cold,48.1739,-103.6367
Cold,48.1739,-103.6367
Cold,48.1739,-103.6367
Cold,48.1739,-103.6367
Cold,44.5333,-69.6755
Cold,45.1476,-92.5335
Fog,46.3476,-104.2594
Fog,46.3476,-104.2594
Cold,41.448,-97.3426
Fog,32.5723,-116.9802
Fog,32.5723,-116.9802
Cold,42.0444,-94.7889
Cold,44.3227,-94.5024
Fog,45.0166,-84.6894
Fog,45.0166,-84.6894
Cold,40.4521,-99.3365
Fog,44.2035,-72.5623
Cold,44.2035,-72.5623
Cold,44.2035,-72.5623
Cold,39.2119,-82.2293
Cold,47.7069,-104.1926
Cold,44.9412,-73.0997
Cold,44.9412,-73.0997
Cold,44.9412,-73.0997
Cold,44.9412,-73.0997
Cold,40.9467,-91.5111
Cold,41.2406,-96.5946
Cold,41.2406,-96.5946
Cold,44.3342,-89.0202
Fog,46.2532,-84.4771
Fog,46.2532,-84.4771
Fog,46.2532,-84.4771
Cold,46.8404,-96.6544
Cold,40.5176,-90.6481
Cold,44.2595,-88.5157
Cold,44.4804,-103.788
Cold,44.4804,-103.788
Cold,44.4804,-103.788
Cold,44.4804,-103.788
Cold,44.4804,-103.788
Cold,44.4804,-103.788
Cold,40.3013,-96.7541
Cold,40.3013,-96.7541
Cold,40.3013,-96.7541
Fog,33.3013,-117.3551
Fog,33.3013,-117.3551
Fog,33.3013,-117.3551
Cold,41.9619,-100.5689
Cold,41.9619,-100.5689
Cold,44.3592,-89.8369
Cold,40.6615,-91.3267
Cold,43.0194,-91.1211
Cold,42.2419,-96.9814
Fog,36.78,-119.7194
Fog,36.78,-119.7194
Cold,43.4285,-88.7017
Cold,44.6381,-90.1875
Fog,40.8193,-76.8658
Cold,44.9047,-97.1494
Cold,42.8984,-72.2708
Cold,42.8984,-72.2708
Cold,42.8984,-72.2708
Cold,41.3119,-95.9018
Cold,40.2895,-88.1473
Fog,36.0296,-119.0627
Cold,39.8453,-89.684
Cold,44.8936,-91.8665
Cold,44.8936,-91.8665
Fog,42.375,-122.87700000000001
Cold,45.1566,-89.1114
Cold,43.7331,-103.6114
Cold,33.3078,-111.6555
Fog,45.5958,-122.6092
Cold,47.7453,-90.3457
Cold,46.5275,-90.1314
Cold,41.9842,-95.38
Cold,45.8069,-108.5422
Cold,41.4059,-95.0465
Cold,40.8941,-97.9946
Cold,40.8941,-97.9946
Cold,41.3989,-92.9431
Storm,38.4844,-106.3169
Storm,38.4844,-106.3169
Storm,38.4844,-106.3169
Storm,38.4844,-106.3169
Storm,38.4844,-106.3169
Storm,38.4844,-106.3169
Storm,38.4844,-106.3169
Storm,38.4844,-106.3169
Cold,46.0303,-91.4426
Cold,43.1683,-95.2101
Cold,43.964,-69.7108
Cold,40.2031,-87.5897
Cold,44.8888,-72.2292
Cold,44.8888,-72.2292
Cold,44.8888,-72.2292
Cold,41.7432,-89.6655
Cold,45.4646,-69.5538
Fog,36.8933,-121.4103
Cold,45.6963,-92.9542
Cold,45.6963,-92.9542
Cold,46.768,-100.89399999999999
Cold,42.7317,-95.5558
Cold,45.2353,-93.9896
Cold,42.6196,-89.5931
Cold,42.47,-98.68799999999999
Cold,44.8322,-93.4705
Fog,46.7438,-117.1158
Fog,46.7438,-117.1158
Cold,45.468,-89.8096
Cold,43.3939,-70.708
Cold,43.3939,-70.708
Cold,41.8965,-88.2512
Cold,47.7912,-99.9317
Cold,42.6909,-90.4412
Cold,43.6271,-72.3054
Cold,43.6271,-72.3054
Fog,44.4971,-123.2895
Fog,44.4971,-123.2895
Fog,44.4971,-123.2895
Cold,44.0435,-89.304
Cold,47.29,-101.581
Cold,47.29,-101.581
Fog,33.8977,-117.6024
Fog,33.8977,-117.6024
Fog,33.8977,-117.6024
Fog,33.8977,-117.6024
Cold,45.9309,-89.26700000000001
Cold,45.9309,-89.26700000000001
Cold,45.9309,-89.26700000000001
Cold,45.9309,-89.26700000000001
Cold,41.8906,-89.0817
Cold,41.8906,-89.0817
Cold,44.9276,-89.6251
Cold,44.3659,-71.5522
Cold,44.6153,-88.7313
Cold,43.5814,-90.8997
Cold,44.0485,-70.2835
Cold,44.0485,-70.2835
Fog,25.6423,-80.4347
Fog,25.6423,-80.4347
Fog,25.6423,-80.4347
Fog,25.6423,-80.4347
Cold,43.9911,-70.9479
Fog,32.8645,-117.1366
Fog,32.8645,-117.1366
Cold,42.8875,-90.2315
Fog,45.3047,-85.2747
Fog,45.3047,-85.2747
Cold,42.0454,-90.1101
Cold,46.619,-93.3127
Fog,33.4668,-105.5278
Cold,38.7242,-120.7533
Cold,32.719,-98.891
Cold,32.719,-98.891
Fog,41.0136,-83.6686
Fog,40.1743,-103.2146
Cold,44.7794,-89.671
Cold,41.4316,-88.4152
Cold,41.4316,-88.4152
Cold,41.4316,-88.4152
Cold,41.4316,-88.4152
Fog,41.778,-80.6955
Fog,41.778,-80.6955
Cold,40.2247,-83.3516
Cold,32.5521,-88.5556
Cold,40.1493,-97.5872
Cold,42.2475,-89.581
Fog,35.4319,-82.5375
Cold,43.1153,-89.5311
Cold,40.6306,-93.9008
Fog,36.3115,-119.6231
Fog,36.3115,-119.6231
Fog,36.3115,-119.6231
Cold,43.7748,-98.0386
Cold,41.4489,-96.52
Cold,45.1984,-89.71
Fog,46.677,-122.9827
Cold,46.677,-122.9827
Fog,46.677,-122.9827
Cold,46.677,-122.9827
Fog,46.677,-122.9827
Cold,46.677,-122.9827
Fog,46.677,-122.9827
Cold,43.5264,-89.98100000000001
Cold,43.9855,-73.0955
Storm,41.1409,-104.8691
Cold,41.2261,-92.4938
Cold,41.2752,-91.6748
Cold,41.0231,-89.3885
Cold,41.0231,-89.3885
Cold,41.8295,-90.3328
Cold,41.8295,-90.3328
Fog,46.3745,-117.0154
Fog,46.3745,-117.0154
Fog,46.3745,-117.0154
Fog,46.3745,-117.0154
Cold,45.5442,-94.0516
Cold,44.0203,-92.8295
Cold,43.1406,-89.3453
Fog,34.2119,-119.0916
Fog,33.8118,-118.1472
Fog,33.8118,-118.1472
Fog,33.8118,-118.1472
Fog,33.8118,-118.1472
Fog,33.8118,-118.1472
Cold,43.2348,-93.6241
Cold,47.0493,-109.4667
Cold,47.0493,-109.4667
Cold,41.0522,-93.6897
Fog,46.9208,-114.0925
Fog,46.9208,-114.0925
Cold,42.9103,-82.5332
Cold,42.9103,-82.5332
Fog,32.563,-117.1109
Fog,32.563,-117.1109
Cold,32.563,-117.1109
Fog,32.563,-117.1109
Cold,44.8601,-93.03200000000001
Fog,48.1585,-122.1591
Fog,48.1585,-122.1591
Cold,43.9042,-92.4917
Cold,40.0324,-88.2755
Cold,44.8854,-93.2313
Cold,44.0511,-101.6011
Cold,45.9509,-94.3441
Cold,43.0796,-94.2723
Cold,39.7719,-94.9097
Cold,40.7911,-99.7772
Cold,27.9152,-82.4518
Cold,27.9152,-82.4518
Cold,44.1451,-103.1036
Cold,47.7966,-103.2552
Cold,45.42100000000001,-123.8144
Cold,45.42100000000001,-123.8144
Cold,48.9402,-97.9053
Cold,48.9402,-97.9053
Cold,48.0597,-96.1788
Cold,44.6884,-111.1176
Fog,44.6884,-111.1176
Cold,44.6884,-111.1176
Fog,44.6884,-111.1176
Fog,44.6884,-111.1176
Cold,47.8366,-90.3864
Cold,47.8366,-90.3864
Cold,47.8366,-90.3864
Cold,47.8366,-90.3864
Fog,40.8034,-124.1128
Fog,40.8034,-124.1128
Fog,33.286,-117.456
Fog,33.286,-117.456
Fog,33.286,-117.456
Cold,44.0727,-103.2108
Fog,44.0727,-103.2108
Cold,43.8922,-69.9386
Fog,34.7275,-120.5783
Cold,44.1466,-107.1744
Fog,44.1466,-107.1744
Fog,44.1466,-107.1744
Fog,44.1466,-107.1744
Fog,44.1466,-107.1744
Cold,44.75,-109.37
Fog,35.6656,-121.2847
Fog,35.6656,-121.2847
Fog,35.6656,-121.2847
Cold,46.1,-97.15
Cold,43.1235,-106.3375
Cold,43.1235,-106.3375
Fog,42.8367,-105.8618
Cold,46.4333,-109.8333
Cold,42.5587,-106.8474
Cold,42.5587,-106.8474
Fog,46.6667,-113.15
Fog,46.6667,-113.15
Fog,46.6667,-113.15
Fog,46.6667,-113.15
Fog,46.6667,-113.15
Fog,46.6667,-113.15
Fog,46.25,-114.15
Fog,46.25,-114.15
Fog,46.25,-114.15
Fog,46.25,-114.15
Fog,46.25,-114.15
Fog,46.25,-114.15
Cold,45.4175,-123.8087
Cold,45.4175,-123.8087
Cold,44.7342,-103.86200000000001
Fog,44.7342,-103.86200000000001
Fog,28.209,-100.01899999999999
Fog,28.209,-100.01899999999999
Fog,28.209,-100.01899999999999
Fog,28.209,-100.01899999999999
Fog,28.209,-100.01899999999999
Fog,28.209,-100.01899999999999
Fog,28.209,-100.01899999999999
Fog,28.209,-100.01899999999999
Fog,46.4772,-122.8065
Cold,44.5343,-106.8049
Fog,44.5343,-106.8049
Fog,42.45,-105.0333
Fog,39.0,-110.1667
Fog,39.0,-110.1667
