Type,Severity,LocationLat,LocationLng
Fog,Severe,31.8331,-104.8098
Fog,Moderate,31.8331,-104.8098
Cold,Severe,43.4011,-94.7472
Fog,Moderate,38.5067,-121.49600000000001
Fog,Severe,44.9049,-123.001
Cold,Severe,41.0107,-95.2624
Cold,Severe,41.0107,-95.2624
Cold,Severe,41.0107,-95.2624
Cold,Severe,42.8975,-106.4731
Cold,Severe,42.8975,-106.4731
Fog,Severe,42.8975,-106.4731
Fog,Moderate,42.8975,-106.4731
Snow,Light,31.0858,-97.6865
Cold,Severe,47.1387,-104.8072
Cold,Severe,35.3786,-78.7336
Snow,Light,45.0717,-83.5644
Snow,Light,38.9439,-104.5684
Snow,Light,38.9439,-104.5684
Fog,Severe,42.8154,-108.7261
Snow,Light,42.8154,-108.7261
Fog,Severe,42.8154,-108.7261
Fog,Severe,42.8154,-108.7261
Fog,Severe,42.8154,-108.7261
Fog,Severe,42.8154,-108.7261
Fog,Severe,42.8154,-108.7261
Snow,Light,42.8154,-108.7261
Fog,Severe,42.8154,-108.7261
Fog,Severe,42.8154,-108.7261
Fog,Severe,42.8154,-108.7261
Snow,Light,42.8154,-108.7261
Snow,Light,42.8154,-108.7261
Fog,Severe,42.8154,-108.7261
Snow,Light,42.8154,-108.7261
Cold,Severe,44.4736,-93.0145
Rain,Light,27.9471,-81.7811
Rain,Light,27.9471,-81.7811
Cold,Severe,44.2507,-90.8553
Cold,Severe,44.2507,-90.8553
Cold,Severe,44.2507,-90.8553
Fog,Moderate,38.6676,-121.4006
Cold,Severe,44.4201,-72.0193
Cold,Severe,44.4201,-72.0193
Cold,Severe,42.8586,-100.5514
Fog,Moderate,42.8586,-100.5514
Snow,Light,45.6536,-84.5192
Snow,Light,45.6536,-84.5192
Fog,Moderate,45.6536,-84.5192
Snow,Light,45.6536,-84.5192
Fog,Moderate,45.6536,-84.5192
Snow,Light,45.6536,-84.5192
Fog,Moderate,45.6536,-84.5192
Snow,Light,45.6536,-84.5192
Fog,Severe,44.2559,-121.1406
Fog,Severe,44.2559,-121.1406
Fog,Severe,44.2559,-121.1406
Cold,Severe,42.8935,-73.2486
Cold,Severe,36.1753,-96.1518
Fog,Moderate,45.8663,-84.6344
Fog,Moderate,45.8663,-84.6344
Snow,Light,45.8663,-84.6344
Snow,Light,38.428000000000004,-105.1058
Snow,Light,38.428000000000004,-105.1058
Fog,Moderate,42.2617,-84.4615
Snow,Light,42.2617,-84.4615
Fog,Moderate,42.2617,-84.4615
Fog,Moderate,42.2617,-84.4615
Cold,Severe,42.193999999999996,-72.5348
Rain,Light,26.2285,-97.6544
Snow,Light,26.2285,-97.6544
Rain,Light,26.2285,-97.6544
Snow,Light,43.1111,-76.1038
Cold,Severe,43.1111,-76.1038
Cold,Severe,41.6234,-98.9488
Snow,Light,30.7873,-98.6608
Cold,Severe,40.8478,-96.7647
Cold,Severe,34.5666,-117.6704
Cold,Severe,39.8308,-88.8719
Fog,Severe,33.7963,-118.0418
Fog,Severe,33.7963,-118.0418
Fog,Severe,33.7963,-118.0418
Fog,Severe,33.7963,-118.0418
Fog,Severe,33.7963,-118.0418
Fog,Severe,33.7963,-118.0418
Fog,Moderate,33.7963,-118.0418
Snow,Light,41.9308,-85.0543
Snow,Light,41.9308,-85.0543
Snow,Light,41.9308,-85.0543
Snow,Light,41.9308,-85.0543
Snow,Light,41.9308,-85.0543
Snow,Light,41.9308,-85.0543
Fog,Severe,37.2848,-120.5139
Fog,Severe,37.2848,-120.5139
Fog,Severe,37.2848,-120.5139
Fog,Severe,37.2848,-120.5139
Fog,Severe,37.2848,-120.5139
Fog,Severe,37.2848,-120.5139
Fog,Moderate,37.2848,-120.5139
Cold,Severe,47.0492,-91.745
Snow,Light,46.1514,-89.2108
Snow,Light,46.1514,-89.2108
Fog,Moderate,46.1514,-89.2108
Fog,Moderate,46.1514,-89.2108
Fog,Moderate,46.1514,-89.2108
Cold,Severe,48.381,-102.898
Rain,Light,29.066999999999997,-81.2837
Rain,Light,29.066999999999997,-81.2837
Rain,Light,29.066999999999997,-81.2837
Fog,Severe,32.7339,-117.1845
Fog,Moderate,32.7339,-117.1845
Snow,Light,40.3315,-103.807
Snow,Light,40.3315,-103.807
Snow,Light,40.3315,-103.807
Fog,Moderate,46.9252,-103.9821
Cold,Severe,46.9252,-103.9821
Snow,Light,39.4279,-83.7921
Snow,Light,39.4279,-83.7921
Fog,Moderate,44.3853,-74.2062
Rain,Light,32.6453,-81.5971
Fog,Severe,45.621,-122.6542
Rain,Light,27.8493,-82.5212
Rain,Light,27.8493,-82.5212
Rain,Light,27.8493,-82.5212
Rain,Light,27.8493,-82.5212
Rain,Light,27.8493,-82.5212
Cold,Severe,45.3108,-92.6948
Snow,Light,36.9875,-82.53
Snow,Light,36.9875,-82.53
Snow,Light,36.9875,-82.53
Snow,Light,36.9875,-82.53
Snow,Light,36.9875,-82.53
Snow,Light,36.9875,-82.53
Snow,Light,36.9875,-82.53
Snow,Light,36.9875,-82.53
Snow,Light,36.9875,-82.53
Snow,Light,36.9875,-82.53
Snow,Light,36.9875,-82.53
Snow,Light,41.208999999999996,-81.2479
